,600036.SH,601166.SH
,招商银行,兴业银行
,收盘价(元),收盘价(元)
2003-4-11,3.252,
2003-4-14,3.3728,
2003-4-15,3.4552,
2003-4-16,3.4717,
2003-4-17,3.425,
2003-4-18,3.2959,
2003-4-21,3.2025,
2003-4-22,3.241,
2003-4-23,3.1531,
2003-4-24,3.0707,
2003-4-25,3.0817,
2003-4-28,3.3866,
2003-4-29,3.3728,
2003-4-30,3.3948,
2003-5-12,3.5019,
2003-5-13,3.3234,
2003-5-14,3.3893,
2003-5-15,3.403,
2003-5-16,3.4333,
2003-5-19,3.3921,
2003-5-20,3.3097,
2003-5-21,3.3097,
2003-5-22,3.4003,
2003-5-23,3.4305,
2003-5-26,3.4305,
2003-5-27,3.4333,
2003-5-28,3.3563,
2003-5-29,3.3481,
2003-5-30,3.3399,
2003-6-2,3.3509,
2003-6-3,3.3316,
2003-6-4,3.3866,
2003-6-5,3.3399,
2003-6-6,3.2932,
2003-6-9,3.2025,
2003-6-10,3.2273,
2003-6-11,3.3399,
2003-6-12,3.2959,
2003-6-13,3.3069,
2003-6-16,3.241,
2003-6-17,3.219,
2003-6-18,3.2163,
2003-6-19,3.2245,
2003-6-20,3.1668,
2003-6-23,3.1229,
2003-6-24,3.1092,
2003-6-25,3.1009,
2003-6-26,3.1531,
2003-6-27,3.1174,
2003-6-30,3.1092,
2003-7-1,3.1256,
2003-7-2,3.263,
2003-7-3,3.2794,
2003-7-4,3.2382,
2003-7-7,3.2273,
2003-7-8,3.241,
2003-7-9,3.2273,
2003-7-10,3.3124,
2003-7-11,3.2987,
2003-7-14,3.2657,
2003-7-15,3.3069,
2003-7-16,3.3568,
2003-7-17,3.4012,
2003-7-18,3.318,
2003-7-21,3.3208,
2003-7-22,3.2348,
2003-7-23,3.2154,
2003-7-24,3.1848,
2003-7-25,3.1571,
2003-7-28,3.1654,
2003-7-29,3.1987,
2003-7-30,3.1682,
2003-7-31,3.1432,
2003-8-1,3.1737,
2003-8-4,3.2043,
2003-8-5,3.1848,
2003-8-6,3.146,
2003-8-7,3.1821,
2003-8-8,3.1405,
2003-8-11,3.1626,
2003-8-12,3.1682,
2003-8-13,3.1155,
2003-8-14,3.0517,
2003-8-15,3.0323,
2003-8-18,3.0212,
2003-8-19,3.0295,
2003-8-20,3.0406,
2003-8-21,3.0101,
2003-8-22,2.9685,
2003-8-25,2.9157,
2003-8-26,2.8547,
2003-8-27,2.8048,
2003-8-28,2.7604,
2003-8-29,2.8186,
2003-9-1,2.8852,
2003-9-2,2.8436,
2003-9-3,2.8103,
2003-9-4,2.8159,
2003-9-5,2.777,
2003-9-8,2.7743,
2003-9-9,2.7743,
2003-9-10,2.8186,
2003-9-11,2.8464,
2003-9-12,2.7687,
2003-9-15,2.6633,
2003-9-16,2.63,
2003-9-17,2.5967,
2003-9-18,2.6244,
2003-9-19,2.6383,
2003-9-22,2.5523,
2003-9-23,2.5967,
2003-9-24,2.605,
2003-9-25,2.5995,
2003-9-26,2.6189,
2003-9-29,2.5884,
2003-9-30,2.6022,
2003-10-8,2.6078,
2003-10-9,2.5995,
2003-10-10,2.6355,
2003-10-13,2.6633,
2003-10-14,2.63,
2003-10-15,2.63,
2003-10-16,2.5773,
2003-10-17,2.5801,
2003-10-20,2.5634,
2003-10-21,2.5107,
2003-10-22,2.6161,
2003-10-23,2.6189,
2003-10-24,2.6189,
2003-10-27,2.5967,
2003-10-28,2.6827,
2003-10-29,2.7632,
2003-10-30,2.7188,
2003-10-31,2.7049,
2003-11-3,2.7354,
2003-11-4,2.827,
2003-11-5,2.8159,
2003-11-6,2.7632,
2003-11-7,2.6688,
2003-11-10,2.691,
2003-11-11,2.6744,
2003-11-12,2.5773,
2003-11-13,2.5523,
2003-11-14,2.5828,
2003-11-17,2.5468,
2003-11-18,2.5218,
2003-11-19,2.5662,
2003-11-20,2.6161,
2003-11-21,2.5939,
2003-11-24,2.691,
2003-11-25,2.716,
2003-11-26,2.7188,
2003-11-27,2.6494,
2003-11-28,2.6494,
2003-12-1,2.7465,
2003-12-2,2.7132,
2003-12-3,2.7132,
2003-12-4,2.827,
2003-12-5,2.8297,
2003-12-8,2.8325,
2003-12-9,2.777,
2003-12-10,2.9296,
2003-12-11,3.0461,
2003-12-12,3.0545,
2003-12-15,3.0295,
2003-12-16,2.9934,
2003-12-17,2.949,
2003-12-18,2.9934,
2003-12-19,3.0517,
2003-12-22,3.1432,
2003-12-23,3.0961,
2003-12-24,3.1238,
2003-12-25,3.0822,
2003-12-26,3.0739,
2003-12-29,3.0378,
2003-12-30,3.0267,
2003-12-31,2.999,
2004-1-2,3.0184,
2004-1-5,3.1571,
2004-1-6,3.2708,
2004-1-7,3.3097,
2004-1-8,3.343,
2004-1-9,3.232,
2004-1-12,3.3374,
2004-1-13,3.3014,
2004-1-14,3.2237,
2004-1-15,3.2154,
2004-1-16,3.232,
2004-1-29,3.2903,
2004-1-30,3.1848,
2004-2-2,3.3208,
2004-2-3,3.3568,
2004-2-4,3.4234,
2004-2-5,3.4096,
2004-2-6,3.3957,
2004-2-9,3.4484,
2004-2-10,3.3818,
2004-2-11,3.3236,
2004-2-12,3.2597,
2004-2-13,3.2625,
2004-2-16,3.4096,
2004-2-17,3.4068,
2004-2-18,3.3707,
2004-2-19,3.3208,
2004-2-20,3.3679,
2004-2-23,3.2348,
2004-2-24,3.1904,
2004-2-25,3.0961,
2004-2-26,3.1266,
2004-2-27,3.0933,
2004-3-1,3.0683,
2004-3-2,3.0933,
2004-3-3,3.06,
2004-3-4,3.0794,
2004-3-5,3.0461,
2004-3-8,2.9574,
2004-3-9,2.9657,
2004-3-10,3.0628,
2004-3-11,3.0545,
2004-3-12,3.0184,
2004-3-15,3.1238,
2004-3-16,3.1072,
2004-3-17,3.1321,
2004-3-18,3.0933,
2004-3-19,3.0933,
2004-3-22,3.1405,
2004-3-23,3.0905,
2004-3-24,3.0711,
2004-3-25,3.085,
2004-3-26,3.0961,
2004-3-29,3.0822,
2004-3-30,3.0461,
2004-3-31,3.0378,
2004-4-1,3.0961,
2004-4-2,3.1183,
2004-4-5,3.0933,
2004-4-6,3.0877,
2004-4-7,3.0489,
2004-4-8,3.0128,
2004-4-9,2.9629,
2004-4-12,2.9379,
2004-4-13,2.9157,
2004-4-14,2.8714,
2004-4-15,2.8603,
2004-4-16,2.8963,
2004-4-19,2.8603,
2004-4-20,2.9213,
2004-4-21,2.8852,
2004-4-22,2.9102,
2004-4-23,2.8686,
2004-4-26,2.8824,
2004-4-27,2.9157,
2004-4-28,2.9685,
2004-4-29,3.0045,
2004-4-30,3.0295,
2004-5-10,2.9407,
2004-5-11,3.0011,
2004-5-12,3.0515,
2004-5-13,3.0515,
2004-5-14,3.0011,
2004-5-17,2.9105,
2004-5-18,2.9239,
2004-5-19,2.9441,
2004-5-20,2.9843,
2004-5-21,3.0045,
2004-5-24,3.0179,
2004-5-25,2.981,
2004-5-26,2.981,
2004-5-27,3.0414,
2004-5-28,3.0246,
2004-5-31,3.0481,
2004-6-1,3.1119,
2004-6-2,3.0951,
2004-6-3,3.0213,
2004-6-4,3.0112,
2004-6-7,2.9608,
2004-6-8,2.9172,
2004-6-9,2.9306,
2004-6-10,2.9004,
2004-6-11,2.8769,
2004-6-14,2.8534,
2004-6-15,2.9441,
2004-6-16,2.9239,
2004-6-17,2.8669,
2004-6-18,2.7896,
2004-6-21,2.7863,
2004-6-22,2.8266,
2004-6-23,2.8031,
2004-6-24,2.8064,
2004-6-25,2.8064,
2004-6-28,2.7762,
2004-6-29,2.8434,
2004-6-30,2.8467,
2004-7-1,2.9105,
2004-7-2,2.9306,
2004-7-5,2.9206,
2004-7-6,2.9508,
2004-7-7,2.9239,
2004-7-8,2.9676,
2004-7-9,2.981,
2004-7-12,2.9374,
2004-7-13,2.9676,
2004-7-14,3.0045,
2004-7-15,3.0616,
2004-7-16,3.0884,
2004-7-19,3.0951,
2004-7-20,3.0783,
2004-7-21,3.0884,
2004-7-22,2.9743,
2004-7-23,3.0078,
2004-7-26,2.9676,
2004-7-27,2.9172,
2004-7-28,2.9374,
2004-7-29,3.0011,
2004-7-30,3.0045,
2004-8-2,3.0146,
2004-8-3,2.9575,
2004-8-4,3.0481,
2004-8-5,2.9911,
2004-8-6,3.0011,
2004-8-9,3.075,
2004-8-10,3.1119,
2004-8-11,3.0616,
2004-8-12,3.075,
2004-8-13,3.1153,
2004-8-16,3.0918,
2004-8-17,3.1186,
2004-8-18,3.1522,
2004-8-19,3.1488,
2004-8-20,3.1623,
2004-8-23,3.1052,
2004-8-24,3.1086,
2004-8-25,3.0817,
2004-8-26,3.0884,
2004-8-27,3.0817,
2004-8-30,3.0616,
2004-8-31,3.0985,
2004-9-1,3.0246,
2004-9-2,3.0078,
2004-9-3,2.9944,
2004-9-6,2.9743,
2004-9-7,3.0213,
2004-9-8,2.9978,
2004-9-9,2.9474,
2004-9-10,2.9709,
2004-9-13,2.9306,
2004-9-14,3.0011,
2004-9-15,3.1119,
2004-9-16,3.1455,
2004-9-17,3.2294,
2004-9-20,3.2999,
2004-9-21,3.226,
2004-9-22,3.1321,
2004-9-23,3.2965,
2004-9-24,3.1858,
2004-9-27,3.1556,
2004-9-28,3.1556,
2004-9-29,3.1556,
2004-9-30,3.1421,
2004-10-8,3.1186,
2004-10-11,3.0515,
2004-10-12,2.9776,
2004-10-13,2.9877,
2004-10-14,2.9508,
2004-10-15,2.981,
2004-10-18,2.9709,
2004-10-19,2.9743,
2004-10-20,2.9038,
2004-10-21,2.7695,
2004-10-22,2.8232,
2004-10-25,2.8165,
2004-10-26,2.9239,
2004-10-27,2.9843,
2004-10-28,2.9374,
2004-10-29,2.9709,
2004-11-1,2.9709,
2004-11-2,2.9474,
2004-11-3,3.0078,
2004-11-4,2.9642,
2004-11-5,3.0112,
2004-11-8,3.0045,
2004-11-9,3.0045,
2004-11-10,3.0548,
2004-11-11,3.0213,
2004-11-12,3.0347,
2004-11-15,2.981,
2004-11-16,3.0146,
2004-11-17,2.9843,
2004-11-18,2.9776,
2004-11-19,3.0213,
2004-11-22,3.0078,
2004-11-23,2.9709,
2004-11-24,2.9642,
2004-11-25,2.9575,
2004-11-26,2.9508,
2004-11-29,2.9474,
2004-11-30,2.9172,
2004-12-1,2.9206,
2004-12-2,2.8769,
2004-12-3,2.8769,
2004-12-6,2.8803,
2004-12-7,2.887,
2004-12-8,2.9105,
2004-12-9,2.9172,
2004-12-10,2.9172,
2004-12-13,2.9038,
2004-12-14,2.9004,
2004-12-15,2.9038,
2004-12-16,2.9306,
2004-12-17,2.9004,
2004-12-20,2.8601,
2004-12-21,2.8467,
2004-12-22,2.9038,
2004-12-23,2.8736,
2004-12-24,2.8601,
2004-12-27,2.7863,
2004-12-28,2.8031,
2004-12-29,2.7829,
2004-12-30,2.7863,
2004-12-31,2.8031,
2005-1-4,2.7426,
2005-1-5,2.7426,
2005-1-6,2.6889,
2005-1-7,2.6889,
2005-1-10,2.7863,
2005-1-11,2.7796,
2005-1-12,2.793,
2005-1-13,2.7729,
2005-1-14,2.7661,
2005-1-17,2.6923,
2005-1-18,2.7124,
2005-1-19,2.7091,
2005-1-20,2.7124,
2005-1-21,2.8534,
2005-1-24,2.887,
2005-1-25,2.8568,
2005-1-26,2.8702,
2005-1-27,2.8199,
2005-1-28,2.8333,
2005-1-31,2.8467,
2005-2-1,2.887,
2005-2-2,2.9709,
2005-2-3,2.9239,
2005-2-4,3.0481,
2005-2-16,3.0414,
2005-2-17,3.0078,
2005-2-18,2.9575,
2005-2-21,3.028,
2005-2-22,3.0515,
2005-2-23,2.9877,
2005-2-24,2.9843,
2005-2-25,3.0112,
2005-2-28,2.9273,
2005-3-1,2.934,
2005-3-2,2.887,
2005-3-3,2.9071,
2005-3-4,2.9038,
2005-3-7,2.9441,
2005-3-8,2.9575,
2005-3-9,2.8769,
2005-3-10,2.8366,
2005-3-11,2.84,
2005-3-14,2.8568,
2005-3-15,2.7997,
2005-3-16,2.7964,
2005-3-17,2.8031,
2005-3-18,2.8366,
2005-3-21,2.8568,
2005-3-22,2.8333,
2005-3-23,2.8736,
2005-3-24,2.8836,
2005-3-25,2.8702,
2005-3-28,2.8937,
2005-3-29,2.9071,
2005-3-30,2.8702,
2005-3-31,2.9038,
2005-4-1,2.9843,
2005-4-4,2.9508,
2005-4-5,2.9508,
2005-4-6,3.0179,
2005-4-7,3.0716,
2005-4-8,3.1052,
2005-4-11,3.0683,
2005-4-12,3.0246,
2005-4-13,3.0616,
2005-4-14,3.0078,
2005-4-15,2.9911,
2005-4-18,2.9944,
2005-4-19,3.0414,
2005-4-20,3.0011,
2005-4-21,3.0179,
2005-4-22,3.0616,
2005-4-25,3.0783,
2005-4-26,3.0381,
2005-4-27,3.0582,
2005-4-28,3.0918,
2005-4-29,3.122,
2005-5-9,3.0716,
2005-5-10,3.1018,
2005-5-11,3.0582,
2005-5-12,2.887,
2005-5-13,2.9407,
2005-5-16,2.9206,
2005-5-17,2.9206,
2005-5-18,2.9474,
2005-5-19,2.9541,
2005-5-20,2.9474,
2005-5-23,2.8434,
2005-5-24,2.8635,
2005-5-25,2.8971,
2005-5-26,2.8702,
2005-5-27,2.8434,
2005-5-30,2.8199,
2005-5-31,2.8534,
2005-6-1,2.7964,
2005-6-2,2.6923,
2005-6-3,2.7426,
2005-6-6,2.8131,
2005-6-7,2.8064,
2005-6-8,2.9978,
2005-6-9,2.9608,
2005-6-10,2.9877,
2005-6-13,2.981,
2005-6-14,2.9306,
2005-6-15,2.8803,
2005-6-16,2.9709,
2005-6-17,2.9877,
2005-6-20,3.156,
2005-6-21,3.0693,
2005-6-22,3.1611,
2005-6-23,3.1203,
2005-6-24,3.1305,
2005-6-27,3.1865,
2005-6-28,3.1458,
2005-6-29,3.0948,
2005-6-30,3.0897,
2005-7-1,3.0183,
2005-7-4,3.0591,
2005-7-5,3.054,
2005-7-6,3.0387,
2005-7-7,3.0234,
2005-7-8,3.0081,
2005-7-11,3.0336,
2005-7-12,3.212,
2005-7-13,3.1763,
2005-7-14,3.2069,
2005-7-15,3.2018,
2005-7-18,3.212,
2005-7-19,3.212,
2005-7-20,3.2273,
2005-7-21,3.2222,
2005-7-22,3.3497,
2005-7-25,3.3446,
2005-7-26,3.4007,
2005-7-27,3.4211,
2005-7-28,3.4211,
2005-7-29,3.4262,
2005-8-1,3.3956,
2005-8-2,3.4568,
2005-8-3,3.4415,
2005-8-4,3.3956,
2005-8-5,3.4874,
2005-8-8,3.4925,
2005-8-9,3.4772,
2005-8-10,3.5026,
2005-8-11,3.6148,
2005-8-12,3.5077,
2005-8-15,3.5689,
2005-8-16,3.4874,
2005-8-17,3.5128,
2005-8-18,3.3803,
2005-8-19,3.4058,
2005-8-22,3.4262,
2005-8-23,3.3905,
2005-8-24,3.4262,
2005-8-25,3.4313,
2005-8-26,3.4823,
2005-8-29,3.4619,
2005-8-30,3.4568,
2005-8-31,3.4415,
2005-9-1,3.5026,
2005-9-2,3.4874,
2005-9-5,3.4619,
2005-9-6,3.416,
2005-9-7,3.4568,
2005-9-8,3.5026,
2005-9-9,3.4823,
2005-9-12,3.467,
2005-9-13,3.4772,
2005-9-14,3.5179,
2005-9-15,3.4823,
2005-9-16,3.4925,
2005-9-19,3.467,
2005-9-20,3.467,
2005-9-21,3.2987,
2005-9-22,3.2477,
2005-9-23,3.2324,
2005-9-26,3.2324,
2005-9-27,3.1611,
2005-9-28,3.1611,
2005-9-29,3.212,
2005-9-30,3.2069,
2005-10-10,3.2375,
2005-10-11,3.2885,
2005-10-12,3.3038,
2005-10-13,3.263,
2005-10-14,3.212,
2005-10-17,3.212,
2005-10-18,3.1967,
2005-10-19,3.1865,
2005-10-20,3.2732,
2005-10-21,3.2885,
2005-10-24,3.2579,
2005-10-25,3.2324,
2005-10-26,3.1662,
2005-10-27,3.2069,
2005-10-28,3.156,
2005-10-31,3.2018,
2005-11-1,3.1916,
2005-11-2,3.2069,
2005-11-3,3.1712,
2005-11-4,3.1916,
2005-11-7,3.0846,
2005-11-8,3.1152,
2005-11-9,3.1101,
2005-11-10,3.0948,
2005-11-11,3.1152,
2005-11-14,3.0948,
2005-11-15,3.0591,
2005-11-16,3.105,
2005-11-17,3.105,
2005-11-18,3.1967,
2005-11-21,3.156,
2005-11-22,3.1101,
2005-11-23,3.1611,
2005-11-24,3.2324,
2005-11-25,3.263,
2005-11-28,3.2426,
2005-11-29,3.212,
2005-11-30,3.2732,
2005-12-1,3.2987,
2005-12-2,3.2987,
2005-12-5,3.2783,
2005-12-6,3.3293,
2005-12-7,3.3752,
2005-12-8,3.3548,
2005-12-9,3.4109,
2005-12-12,3.3905,
2005-12-13,3.3599,
2005-12-14,3.4007,
2005-12-15,3.3905,
2005-12-16,3.3548,
2005-12-19,3.3548,
2005-12-20,3.3548,
2005-12-21,3.3548,
2005-12-22,3.3548,
2005-12-23,3.3548,
2005-12-26,3.3548,
2005-12-27,3.3548,
2005-12-28,3.3548,
2005-12-29,3.3548,
2005-12-30,3.3548,
2006-1-4,3.6913,
2006-1-5,3.8086,
2006-1-6,3.8646,
2006-1-9,3.8239,
2006-1-10,3.9666,
2006-1-11,3.9156,
2006-1-12,3.9156,
2006-1-13,3.9156,
2006-1-16,3.9156,
2006-1-17,3.9156,
2006-1-18,3.9156,
2006-1-19,3.9156,
2006-1-20,3.9156,
2006-1-23,3.9156,
2006-1-24,3.9156,
2006-1-25,3.9156,
2006-2-6,3.9156,
